,joke,label,joke_length_in_words
0,What do you call a duck on drugs? 🦆. A quack head.,dadjokes,12
1,"Dad jokes are a lot like sex. The louder you groan, the better the job I’m doing!",dadjokes,17
2,What do you get when you send a wolf to therapy? Aware wolf!,dadjokes,13
3,Mathematicians think that normal people are rude and not nice. They think an average person is a mean person.,dadjokes,19
4,My wife told me I should do lunges to stay in shape. That would be a big step forward,dadjokes,19
5,"Did you know that trucks can hear? Yes they can, thanks to the work of engineers.",dadjokes,16
6,What kinda tree fits in your hand? A palm tree,dadjokes,10
7,Why did the Vampire become a vegetarian? Because his Dr. told him Stake is bad for his heart!,dadjokes,18
8,Why did the Romans ban Goth music? Because of all the Saxon violence!,dadjokes,13
9,"To whoever stole my antidepressants last night, I hope you're happy.",dadjokes,11
10,"Is it okay for monks to send e-mails? Yes, as long as there are no attachments.",dadjokes,16
11,"My friend got a job in a factory that makes Dracula figurines. There’s only one other coworker on that line, so he has to make every second count.",dadjokes,28
12,"Did you hear about the 100 ft. tall glasses sculpture they made? Yeah, it's a spectacle.",dadjokes,16
13,I can come up with airplane jokes on the spot.. I do it on the fly.,dadjokes,16
14,"Celebrating Oktoberfest in America is always challenging. I hope for the best, but prepare for the wurst.",dadjokes,17
15,What do dung beetles bring to the shower? Sham-poo,dadjokes,9
16,Here's one in Spanish. Uno.,dadjokes,5
17,What do you call a quiet Karen? A Sharon,dadjokes,9
18,The only thing flat-earthers fear. is sphere itself,dadjokes,8
19,What do sheep always take with them on a camping trip? A baa-ckpack.,dadjokes,13
20,What do you call a kangaroo who's starred in Oliver Twist? A more-soup-ial,dadjokes,13
21,What do you call a harvest of dad jokes? A cornycopia.,dadjokes,11
22,"When my uncle Frank died, he wanted his remains to be buried in his favorite beer mug. His last wish was to be Frank in Stein.",dadjokes,26
23,"What did the rock say to the brave man? You may be bold, but I am boulder.",dadjokes,17
24,What did the dad say when his kid peed all over the bathroom floor? Urine trouble!,dadjokes,16
25,"How much does a roof cost? Nothing, it's on the house.",dadjokes,11
26,What are Michael Jackson’s pronouns? He/he,dadjokes,6
27,Where are all dad jokes stored at? The Dadabank!,dadjokes,9
28,I got a new job operating a forklift. It's an okay job. It has it's ups and downs.,dadjokes,18
29,What do the birds and I have in common? We both cannot walk in the sky,dadjokes,16
30,Why are horses always so negative? Because they're neigh-sayers.,dadjokes,9
31,"Why can't a nose be 12 inches? Because it'd be a foot.

Edit : typo",dadjokes,14
32,"I went to the library and asked the librarian if they had a book on Pavlov and Schrödinger. The librarian said, “That rings a bell, but I’m not sure if it’s here.”

(Got this from my dad, so I felt obligated to post it here)",dadjokes,44
33,I watched a girl get her nose pierced at the bar yesterday. In other words I’m really bad at darts,dadjokes,20
34,I thought making bread in France would be easy…. But it’s really a pain.,dadjokes,14
35,what porn website are Air conditioners not allowed to visit? Onlyfans,dadjokes,11
36,Do you know why necromancers are such great friends to have? They always know how to raise someone's spirit.,dadjokes,19
37,"Which do you believe, disinformation…. or dat information?",dadjokes,8
